ID	Concept	Language	IPA
743	new	CAIJIA	Sin
744	night	CAIJIA	sa
745	nose	CAIJIA	bikei
746	one	CAIJIA	ji
747	path	CAIJIA	ho
748	person	CAIJIA	xuotʃuo
749	see	CAIJIA	kien
750	skin	CAIJIA	pəu
751	star	CAIJIA	Sisu
752	stone	CAIJIA	ca
753	sun	CAIJIA	ien
754	tongue	CAIJIA	crta
755	tooth	CAIJIA	tʃeipei
756	tree	CAIJIA	so
757	two	CAIJIA	ta
758	water	CAIJIA	sr
759	we	CAIJIA	ŋuo
760	you	CAIJIA	nu
761	I	CANIPAAN PALAWAN	aku
762	blood	CANIPAAN PALAWAN	duguʔ
763	bone	CANIPAAN PALAWAN	tulaŋ
764	breast	CANIPAAN PALAWAN	
765	come	CANIPAAN PALAWAN	
766	die	CANIPAAN PALAWAN	patəj
767	dog	CANIPAAN PALAWAN	idəŋ
768	drink	CANIPAAN PALAWAN	minum
769	ear	CANIPAAN PALAWAN	taliŋa
770	eye	CANIPAAN PALAWAN	mata
771	fire	CANIPAAN PALAWAN	apuj
772	fish	CANIPAAN PALAWAN	sədaʔ
773	full	CANIPAAN PALAWAN	
774	hand	CANIPAAN PALAWAN	lima
775	hear	CANIPAAN PALAWAN	kineg
776	horn	CANIPAAN PALAWAN	
777	knee	CANIPAAN PALAWAN	
778	leaf	CANIPAAN PALAWAN	dəʔun
779	liver	CANIPAAN PALAWAN	atəj
780	louse	CANIPAAN PALAWAN	kutu
781	mountain	CANIPAAN PALAWAN	bukid
782	name	CANIPAAN PALAWAN	ŋaran
783	new	CANIPAAN PALAWAN	bagu
784	night	CANIPAAN PALAWAN	gebi
785	nose	CANIPAAN PALAWAN	əduŋ
786	one	CANIPAAN PALAWAN	
787	path	CANIPAAN PALAWAN	dalan
788	person	CANIPAAN PALAWAN	taʔu
789	see	CANIPAAN PALAWAN	
790	skin	CANIPAAN PALAWAN	
791	star	CANIPAAN PALAWAN	bituən
792	stone	CANIPAAN PALAWAN	batu
793	sun	CANIPAAN PALAWAN	aldəw
794	tongue	CANIPAAN PALAWAN	dilaʔ
795	tooth	CANIPAAN PALAWAN	nipən
796	tree	CANIPAAN PALAWAN	kaju
797	two	CANIPAAN PALAWAN	dua
798	water	CANIPAAN PALAWAN	danum
799	we	CANIPAAN PALAWAN	kami
800	you	CANIPAAN PALAWAN	
801	I	CASIGURAN NEGRITO	sakən
802	blood	CASIGURAN NEGRITO	digi
803	bone	CASIGURAN NEGRITO	tulaŋ
804	breast	CASIGURAN NEGRITO	gisap
805	come	CASIGURAN NEGRITO	
806	die	CASIGURAN NEGRITO	mate
807	dog	CASIGURAN NEGRITO	aso
808	drink	CASIGURAN NEGRITO	uminum
809	ear	CASIGURAN NEGRITO	taleŋa
810	eye	CASIGURAN NEGRITO	mata
811	fire	CASIGURAN NEGRITO	apuj
812	fish	CASIGURAN NEGRITO	ikan
813	full	CASIGURAN NEGRITO	
814	hand	CASIGURAN NEGRITO	kamet
815	hear	CASIGURAN NEGRITO	bati
816	horn	CASIGURAN NEGRITO	
817	knee	CASIGURAN NEGRITO	tud
818	leaf	CASIGURAN NEGRITO	don
819	liver	CASIGURAN NEGRITO	
820	louse	CASIGURAN NEGRITO	
821	mountain	CASIGURAN NEGRITO	bukəd
822	name	CASIGURAN NEGRITO	ŋahan
823	new	CASIGURAN NEGRITO	bigo
824	night	CASIGURAN NEGRITO	
825	nose	CASIGURAN NEGRITO	duŋus
826	one	CASIGURAN NEGRITO	esa
827	path	CASIGURAN NEGRITO	delan
828	person	CASIGURAN NEGRITO	
829	see	CASIGURAN NEGRITO	eta
830	skin	CASIGURAN NEGRITO	
831	star	CASIGURAN NEGRITO	bitun
832	stone	CASIGURAN NEGRITO	bito
833	sun	CASIGURAN NEGRITO	bilag
834	tongue	CASIGURAN NEGRITO	dila
835	tooth	CASIGURAN NEGRITO	ŋipən
836	tree	CASIGURAN NEGRITO	kEjo
837	two	CASIGURAN NEGRITO	dua
838	water	CASIGURAN NEGRITO	dənum
839	we	CASIGURAN NEGRITO	sikitam
840	you	CASIGURAN NEGRITO	siko
841	I	CEBUANO	ako
842	blood	CEBUANO	duguʔ
843	bone	CEBUANO	bukug
844	breast	CEBUANO	dughan
845	come	CEBUANO	anhi
846	die	CEBUANO	mataj
847	dog	CEBUANO	iroʔ
848	drink	CEBUANO	inum
849	ear	CEBUANO	daluŋgan
850	eye	CEBUANO	mata
851	fire	CEBUANO	kalaju
852	fish	CEBUANO	isda
853	full	CEBUANO	
854	hand	CEBUANO	kamut
855	hear	CEBUANO	duŋug
856	horn	CEBUANO	
857	knee	CEBUANO	
858	leaf	CEBUANO	dahun
859	liver	CEBUANO	ataj
860	louse	CEBUANO	kutu
861	mountain	CEBUANO	
862	name	CEBUANO	ŋalan
863	new	CEBUANO	bagu
864	night	CEBUANO	gabiʔi
865	nose	CEBUANO	iluŋ
866	one	CEBUANO	usa
867	path	CEBUANO	dalan
868	person	CEBUANO	tawu
869	see	CEBUANO	tanaw
870	skin	CEBUANO	panit
871	star	CEBUANO	bitun
872	stone	CEBUANO	batu
873	sun	CEBUANO	
874	tongue	CEBUANO	dila
875	tooth	CEBUANO	ŋipun
876	tree	CEBUANO	
877	two	CEBUANO	duha
878	water	CEBUANO	tubig
879	we	CEBUANO	kita
880	you	CEBUANO	ikaw
881	I	CENTRAL BICOLANO	ako
882	blood	CENTRAL BICOLANO	dugoʔ
883	bone	CENTRAL BICOLANO	tulaŋ
884	breast	CENTRAL BICOLANO	susu
885	come	CENTRAL BICOLANO	abot
886	die	CENTRAL BICOLANO	pakagadan
887	dog	CENTRAL BICOLANO	ajam
888	drink	CENTRAL BICOLANO	inum
889	ear	CENTRAL BICOLANO	taliŋa
890	eye	CENTRAL BICOLANO	mata
891	fire	CENTRAL BICOLANO	kalajo
892	fish	CENTRAL BICOLANO	siraʔ
893	full	CENTRAL BICOLANO	
894	hand	CENTRAL BICOLANO	kamut
895	hear	CENTRAL BICOLANO	daŋog
896	horn	CENTRAL BICOLANO	
897	knee	CENTRAL BICOLANO	
898	leaf	CENTRAL BICOLANO	dahon
899	liver	CENTRAL BICOLANO	katoj
900	louse	CENTRAL BICOLANO	kuto
901	mountain	CENTRAL BICOLANO	
902	name	CENTRAL BICOLANO	paŋaran
903	new	CENTRAL BICOLANO	bagʔo
904	night	CENTRAL BICOLANO	baŋui
905	nose	CENTRAL BICOLANO	duŋoʔ
906	one	CENTRAL BICOLANO	saro
907	path	CENTRAL BICOLANO	tinampodalan
908	person	CENTRAL BICOLANO	tawo
909	see	CENTRAL BICOLANO	hiliŋ
910	skin	CENTRAL BICOLANO	kublit
911	star	CENTRAL BICOLANO	bitun
912	stone	CENTRAL BICOLANO	gapuʔ
913	sun	CENTRAL BICOLANO	
914	tongue	CENTRAL BICOLANO	dilaʔ
915	tooth	CENTRAL BICOLANO	ŋipon
916	tree	CENTRAL BICOLANO	
917	two	CENTRAL BICOLANO	duwa
918	water	CENTRAL BICOLANO	tubig
919	we	CENTRAL BICOLANO	kita
920	you	CENTRAL BICOLANO	ika
921	I	CENTRAL BONTOC	sakʔən
922	blood	CENTRAL BONTOC	dala
923	bone	CENTRAL BONTOC	tuŋʔal
924	breast	CENTRAL BONTOC	susu
925	come	CENTRAL BONTOC	ali
926	die	CENTRAL BONTOC	matəj
927	dog	CENTRAL BONTOC	asu
928	drink	CENTRAL BONTOC	inum
929	ear	CENTRAL BONTOC	kuləŋ
930	eye	CENTRAL BONTOC	mata
931	fire	CENTRAL BONTOC	apuj
932	fish	CENTRAL BONTOC	gadiw
933	full	CENTRAL BONTOC	
934	hand	CENTRAL BONTOC	lima
935	hear	CENTRAL BONTOC	daŋəl
936	horn	CENTRAL BONTOC	
937	knee	CENTRAL BONTOC	
938	leaf	CENTRAL BONTOC	tubu
939	liver	CENTRAL BONTOC	agtəj
940	louse	CENTRAL BONTOC	kutu
941	mountain	CENTRAL BONTOC	
942	name	CENTRAL BONTOC	ŋadan
943	new	CENTRAL BONTOC	balu
944	night	CENTRAL BONTOC	labi
945	nose	CENTRAL BONTOC	əŋəl
946	one	CENTRAL BONTOC	mi
947	path	CENTRAL BONTOC	dalan
948	person	CENTRAL BONTOC	ipugaw
949	see	CENTRAL BONTOC	ila
950	skin	CENTRAL BONTOC	lapdut
951	star	CENTRAL BONTOC	talaw
952	stone	CENTRAL BONTOC	batu
953	sun	CENTRAL BONTOC	
954	tongue	CENTRAL BONTOC	dila
955	tooth	CENTRAL BONTOC	babʔa
956	tree	CENTRAL BONTOC	
957	two	CENTRAL BONTOC	duwa
958	water	CENTRAL BONTOC	danum
959	we	CENTRAL BONTOC	dataku
960	you	CENTRAL BONTOC	sikoa
961	I	CENTRAL DUSUN	ioho
962	blood	CENTRAL DUSUN	rahaʔ
963	bone	CENTRAL DUSUN	tulaŋ
964	breast	CENTRAL DUSUN	susu
965	come	CENTRAL DUSUN	rikot
966	die	CENTRAL DUSUN	patai
967	dog	CENTRAL DUSUN	tasu
968	drink	CENTRAL DUSUN	inum
969	ear	CENTRAL DUSUN	toliŋo
970	eye	CENTRAL DUSUN	mato
971	fire	CENTRAL DUSUN	tapui
972	fish	CENTRAL DUSUN	sadaʔ
973	full	CENTRAL DUSUN	
974	hand	CENTRAL DUSUN	loŋon
975	hear	CENTRAL DUSUN	roŋou
976	horn	CENTRAL DUSUN	
977	knee	CENTRAL DUSUN	
978	leaf	CENTRAL DUSUN	roun
979	liver	CENTRAL DUSUN	lusou
980	louse	CENTRAL DUSUN	kutu
981	mountain	CENTRAL DUSUN	
982	name	CENTRAL DUSUN	ŋaran
983	new	CENTRAL DUSUN	wagu
984	night	CENTRAL DUSUN	otuoŋ
985	nose	CENTRAL DUSUN	toduŋ
986	one	CENTRAL DUSUN	iso
987	path	CENTRAL DUSUN	dalan
988	person	CENTRAL DUSUN	tulun
989	see	CENTRAL DUSUN	kito
990	skin	CENTRAL DUSUN	kulit
991	star	CENTRAL DUSUN	rombituon
992	stone	CENTRAL DUSUN	watu
993	sun	CENTRAL DUSUN	
994	tongue	CENTRAL DUSUN	dilaʔ
995	tooth	CENTRAL DUSUN	nipon
996	tree	CENTRAL DUSUN	
997	two	CENTRAL DUSUN	duo
998	water	CENTRAL DUSUN	waig
999	we	CENTRAL DUSUN	iato
1000	you	CENTRAL DUSUN	iaʔ
1001	I	CENTRAL TAGBANWA	ako
1002	blood	CENTRAL TAGBANWA	tahik
1003	bone	CENTRAL TAGBANWA	duhi
1004	breast	CENTRAL TAGBANWA	tuto
1005	come	CENTRAL TAGBANWA	
1006	die	CENTRAL TAGBANWA	pataj
1007	dog	CENTRAL TAGBANWA	kiriŋ
1008	drink	CENTRAL TAGBANWA	inim
1009	ear	CENTRAL TAGBANWA	taliŋa
1010	eye	CENTRAL TAGBANWA	mata
1011	fire	CENTRAL TAGBANWA	apoj
1012	fish	CENTRAL TAGBANWA	daiŋ
1013	full	CENTRAL TAGBANWA	pigpig
1014	hand	CENTRAL TAGBANWA	alima
1015	hear	CENTRAL TAGBANWA	bati
1016	horn	CENTRAL TAGBANWA	sirbato
1017	knee	CENTRAL TAGBANWA	tod
1018	leaf	CENTRAL TAGBANWA	daon
1019	liver	CENTRAL TAGBANWA	kandat
1020	louse	CENTRAL TAGBANWA	kajamad
1021	mountain	CENTRAL TAGBANWA	bukid
1022	name	CENTRAL TAGBANWA	ŋalan
1023	new	CENTRAL TAGBANWA	bago
1024	night	CENTRAL TAGBANWA	dilim
1025	nose	CENTRAL TAGBANWA	uroŋ
1026	one	CENTRAL TAGBANWA	tam
1027	path	CENTRAL TAGBANWA	
1028	person	CENTRAL TAGBANWA	katawan
1029	see	CENTRAL TAGBANWA	intul
1030	skin	CENTRAL TAGBANWA	kulit
1031	star	CENTRAL TAGBANWA	bitukon
1032	stone	CENTRAL TAGBANWA	bato
1033	sun	CENTRAL TAGBANWA	aldaw
1034	tongue	CENTRAL TAGBANWA	dila
1035	tooth	CENTRAL TAGBANWA	ŋiti
1036	tree	CENTRAL TAGBANWA	kajo
1037	two	CENTRAL TAGBANWA	dua
1038	water	CENTRAL TAGBANWA	wai
1039	we	CENTRAL TAGBANWA	kita
1040	you	CENTRAL TAGBANWA	ka
1041	I	CUYONON	ako
1042	blood	CUYONON	dugoʔ
1043	bone	CUYONON	tulan
1044	breast	CUYONON	itən
1045	come	CUYONON	
1046	die	CUYONON	
1047	dog	CUYONON	tjuʔ
1048	drink	CUYONON	inom
1049	ear	CUYONON	taliŋa
1050	eye	CUYONON	mataʔ
1051	fire	CUYONON	kalajoʔ
1052	fish	CUYONON	isdaʔ
1053	full	CUYONON	
1054	hand	CUYONON	lima
1055	hear	CUYONON	batiʔ
1056	horn	CUYONON	
1057	knee	CUYONON	
1058	leaf	CUYONON	dawn
1059	liver	CUYONON	ataj
1060	louse	CUYONON	kutoʔ
1061	mountain	CUYONON	
1062	name	CUYONON	aran
1063	new	CUYONON	bagoʔ
1064	night	CUYONON	gabiʔ
1065	nose	CUYONON	iloŋ
1066	one	CUYONON	sakabilog
1067	path	CUYONON	dalan
1068	person	CUYONON	tauʔ
1069	see	CUYONON	kitaʔ
1070	skin	CUYONON	kulit
1071	star	CUYONON	biton
1072	stone	CUYONON	batoʔ
1073	sun	CUYONON	
1074	tongue	CUYONON	dilaʔ
1075	tooth	CUYONON	ipən
1076	tree	CUYONON	
1077	two	CUYONON	darwa
1078	water	CUYONON	tubig
1079	we	CUYONON	kita
1080	you	CUYONON	ikaw
1081	I	DARAGA	ʔaku
1082	blood	DARAGA	duguʔ
1083	bone	DARAGA	tuʔlaŋ
1084	breast	DARAGA	susu
1085	come	DARAGA	ʔabut
1086	die	DARAGA	giran
1087	dog	DARAGA	ʔajam
1088	drink	DARAGA	ʔinum
1089	ear	DARAGA	taliŋa
1090	eye	DARAGA	mata
1091	fire	DARAGA	kalaju
1092	fish	DARAGA	siraʔ
1093	full	DARAGA	punuʔ
1094	hand	DARAGA	kamit
1095	hear	DARAGA	diŋig
1096	horn	DARAGA	suŋaj
1097	knee	DARAGA	tuʔud
1098	leaf	DARAGA	dawun
1099	liver	DARAGA	ʔataj
1100	louse	DARAGA	kutu
1101	mountain	DARAGA	bulud
1102	name	DARAGA	ŋaran
1103	new	DARAGA	baʔgu
1104	night	DARAGA	gaʔbi
1105	nose	DARAGA	ʔuruŋ
1106	one	DARAGA	ʔisad
1107	path	DARAGA	dalan
1108	person	DARAGA	tawu
1109	see	DARAGA	kita
1110	skin	DARAGA	kulit
1111	star	DARAGA	bituʔun
1112	stone	DARAGA	batu
1113	sun	DARAGA	ʔaldaw
1114	tongue	DARAGA	dilaʔ
1115	tooth	DARAGA	ŋipin
1116	tree	DARAGA	kawuj
1117	two	DARAGA	duwa
1118	water	DARAGA	tubig
1119	we	DARAGA	kita
1120	you	DARAGA	kamu
1121	I	DUMAGAT CASIGURAN	sakən
1122	blood	DUMAGAT CASIGURAN	digeʔ
1123	bone	DUMAGAT CASIGURAN	tulaŋ
1124	breast	DUMAGAT CASIGURAN	gisat
1125	come	DUMAGAT CASIGURAN	
1126	die	DUMAGAT CASIGURAN	
1127	dog	DUMAGAT CASIGURAN	asoʔ
1128	drink	DUMAGAT CASIGURAN	uminom
1129	ear	DUMAGAT CASIGURAN	taliŋaʔ
1130	eye	DUMAGAT CASIGURAN	mataʔ
1131	fire	DUMAGAT CASIGURAN	apoj
1132	fish	DUMAGAT CASIGURAN	ikan
1133	full	DUMAGAT CASIGURAN	putat
1134	hand	DUMAGAT CASIGURAN	kamət
1135	hear	DUMAGAT CASIGURAN	batiʔ
1136	horn	DUMAGAT CASIGURAN	
1137	knee	DUMAGAT CASIGURAN	tod
1138	leaf	DUMAGAT CASIGURAN	don
1139	liver	DUMAGAT CASIGURAN	agteʔ
1140	louse	DUMAGAT CASIGURAN	kutoʔ
1141	mountain	DUMAGAT CASIGURAN	buked
1142	name	DUMAGAT CASIGURAN	ŋahen
1143	new	DUMAGAT CASIGURAN	biguʔ
1144	night	DUMAGAT CASIGURAN	kələp
1145	nose	DUMAGAT CASIGURAN	duŋos
1146	one	DUMAGAT CASIGURAN	Esaʔ
1147	path	DUMAGAT CASIGURAN	dilan
1148	person	DUMAGAT CASIGURAN	tolaj
1149	see	DUMAGAT CASIGURAN	metaʔ
1150	skin	DUMAGAT CASIGURAN	kulet
1151	star	DUMAGAT CASIGURAN	biton
1152	stone	DUMAGAT CASIGURAN	bitoʔ
1153	sun	DUMAGAT CASIGURAN	
1154	tongue	DUMAGAT CASIGURAN	dilaʔ
1155	tooth	DUMAGAT CASIGURAN	ŋipən
1156	tree	DUMAGAT CASIGURAN	kajoʔ
1157	two	DUMAGAT CASIGURAN	əduwaʔ
1158	water	DUMAGAT CASIGURAN	dinom
1159	we	DUMAGAT CASIGURAN	sikitam
1160	you	DUMAGAT CASIGURAN	siko
1161	I	DUPANINGAN AGTA	hikan
1162	blood	DUPANINGAN AGTA	digiʔ
1163	bone	DUPANINGAN AGTA	tulaŋ
1164	breast	DUPANINGAN AGTA	gisat
1165	come	DUPANINGAN AGTA	umaŋaj
1166	die	DUPANINGAN AGTA	malugulug
1167	dog	DUPANINGAN AGTA	asuʔ
1168	drink	DUPANINGAN AGTA	magroŋroŋ
1169	ear	DUPANINGAN AGTA	taliŋa
1170	eye	DUPANINGAN AGTA	mataʔ
1171	fire	DUPANINGAN AGTA	gaŋatan
1172	fish	DUPANINGAN AGTA	padut
1173	full	DUPANINGAN AGTA	mabijag
1174	hand	DUPANINGAN AGTA	kamat
1175	hear	DUPANINGAN AGTA	matiman
1176	horn	DUPANINGAN AGTA	saduk
1177	knee	DUPANINGAN AGTA	guwalab
1178	leaf	DUPANINGAN AGTA	don
1179	liver	DUPANINGAN AGTA	agtaj
1180	louse	DUPANINGAN AGTA	kutuʔ
1181	mountain	DUPANINGAN AGTA	tagilEtel
1182	name	DUPANINGAN AGTA	nagEn
1183	new	DUPANINGAN AGTA	biguʔ
1184	night	DUPANINGAN AGTA	kalap
1185	nose	DUPANINGAN AGTA	duŋas
1186	one	DUPANINGAN AGTA	Esa
1187	path	DUPANINGAN AGTA	dilan
1188	person	DUPANINGAN AGTA	agtaʔ
1189	see	DUPANINGAN AGTA	maʔEnta
1190	skin	DUPANINGAN AGTA	gadaŋ
1191	star	DUPANINGAN AGTA	pusijan
1192	stone	DUPANINGAN AGTA	rusuʔ
1193	sun	DUPANINGAN AGTA	sEŋgit
1194	tongue	DUPANINGAN AGTA	dilaʔ
1195	tooth	DUPANINGAN AGTA	ŋipan
1196	tree	DUPANINGAN AGTA	kajuʔ
1197	two	DUPANINGAN AGTA	duwa
1198	water	DUPANINGAN AGTA	dinom
1199	we	DUPANINGAN AGTA	hikitam
1200	you	DUPANINGAN AGTA	hikaw
1201	I	ENGLISH	Ei
1202	blood	ENGLISH	bləd
1203	bone	ENGLISH	bon
1204	breast	ENGLISH	brEst
1205	come	ENGLISH	kəm
1206	die	ENGLISH	dEi
1207	dog	ENGLISH	dag
1208	drink	ENGLISH	driŋk
1209	ear	ENGLISH	ir
1210	eye	ENGLISH	Ei
1211	fire	ENGLISH	fEir
1212	fish	ENGLISH	fiS
1213	full	ENGLISH	ful
1214	hand	ENGLISH	hEnd
1215	hear	ENGLISH	hir
1216	horn	ENGLISH	horn
1217	knee	ENGLISH	ni
1218	leaf	ENGLISH	lif
1219	liver	ENGLISH	livər
1220	louse	ENGLISH	laus
1221	mountain	ENGLISH	mauntən
1222	name	ENGLISH	nem
1223	new	ENGLISH	nu
1224	night	ENGLISH	nEit
1225	nose	ENGLISH	noz
1226	one	ENGLISH	wən
1227	path	ENGLISH	pE8
1228	person	ENGLISH	prsən
1229	see	ENGLISH	si
1230	skin	ENGLISH	skin
1231	star	ENGLISH	star
1232	stone	ENGLISH	ston
1233	sun	ENGLISH	sən
1234	tongue	ENGLISH	təŋ
1235	tooth	ENGLISH	tu8
1236	tree	ENGLISH	tri
1237	two	ENGLISH	tu
1238	water	ENGLISH	watər
1239	we	ENGLISH	wi
1240	you	ENGLISH	ju
1241	I	ESKAYAN	narin
1242	blood	ESKAYAN	alwatis
1243	bone	ESKAYAN	giro
1244	breast	ESKAYAN	palda
1245	come	ESKAYAN	lari
1246	die	ESKAYAN	modowati
1247	dog	ESKAYAN	plodo
1248	drink	ESKAYAN	odʒirim
1249	ear	ESKAYAN	klabara
1250	eye	ESKAYAN	sim
1251	fire	ESKAYAN	poloʔiso
1252	fish	ESKAYAN	pir
1253	full	ESKAYAN	
1254	hand	ESKAYAN	dapami
1255	hear	ESKAYAN	jantisi
1256	horn	ESKAYAN	
1257	knee	ESKAYAN	ilkdo
1258	leaf	ESKAYAN	saliti
1259	liver	ESKAYAN	was
1260	louse	ESKAYAN	hoko
1261	mountain	ESKAYAN	
1262	name	ESKAYAN	laŋgis
1263	new	ESKAYAN	tibil
1264	night	ESKAYAN	kloper
1265	nose	ESKAYAN	dʒiomintir
1266	one	ESKAYAN	oj
1267	path	ESKAYAN	rakilan
1268	person	ESKAYAN	bolto
1269	see	ESKAYAN	mosimsati
1270	skin	ESKAYAN	pil
1271	star	ESKAYAN	pisakol
1272	stone	ESKAYAN	sabana
1273	sun	ESKAYAN	astro
1274	tongue	ESKAYAN	golitas
1275	tooth	ESKAYAN	prindido
1276	tree	ESKAYAN	
1277	two	ESKAYAN	tri
1278	water	ESKAYAN	koljar
1279	we	ESKAYAN	arhitika
1280	you	ESKAYAN	samo
1281	I	ESTONIAN	mina
1282	blood	ESTONIAN	veri
1283	bone	ESTONIAN	kont
1284	breast	ESTONIAN	rind
1285	come	ESTONIAN	tule
1286	die	ESTONIAN	sure
1287	dog	ESTONIAN	koer
1288	drink	ESTONIAN	dʒo
1289	ear	ESTONIAN	korv
1290	eye	ESTONIAN	silm
1291	fire	ESTONIAN	tuli
1292	fish	ESTONIAN	kala
1293	full	ESTONIAN	tais
1294	hand	ESTONIAN	kasi
1295	hear	ESTONIAN	kul
1296	horn	ESTONIAN	sarv
1297	knee	ESTONIAN	polv
1298	leaf	ESTONIAN	let
1299	liver	ESTONIAN	maks
1300	louse	ESTONIAN	tai
1301	mountain	ESTONIAN	magi
1302	name	ESTONIAN	nimi
1303	new	ESTONIAN	us
1304	night	ESTONIAN	o
1305	nose	ESTONIAN	nina
1306	one	ESTONIAN	uks
1307	path	ESTONIAN	te
1308	person	ESTONIAN	inimene
1309	see	ESTONIAN	nage
1310	skin	ESTONIAN	nak
1311	star	ESTONIAN	tat
1312	stone	ESTONIAN	kivi
1313	sun	ESTONIAN	paike
1314	tongue	ESTONIAN	kel
1315	tooth	ESTONIAN	hammas
1316	tree	ESTONIAN	pu
1317	two	ESTONIAN	kaks
1318	water	ESTONIAN	vesi
1319	we	ESTONIAN	meie
1320	you	ESTONIAN	sina
1321	I	FINNISH	minE
1322	blood	FINNISH	veri
1323	bone	FINNISH	luu
1324	breast	FINNISH	rinta
1325	come	FINNISH	tule
1326	die	FINNISH	kuole
1327	dog	FINNISH	koira
1328	drink	FINNISH	dʒuo
1329	ear	FINNISH	korva
1330	eye	FINNISH	silmE
1331	fire	FINNISH	tuli
1332	fish	FINNISH	kala
1333	full	FINNISH	tEjsi
1334	hand	FINNISH	kEsi
1335	hear	FINNISH	kuule
1336	horn	FINNISH	sarvi
1337	knee	FINNISH	polvi
1338	leaf	FINNISH	lehti
1339	liver	FINNISH	maksa
1340	louse	FINNISH	tEi
1341	mountain	FINNISH	vuori
1342	name	FINNISH	nimi
1343	new	FINNISH	uusi
1344	night	FINNISH	jə
1345	nose	FINNISH	nenE
1346	one	FINNISH	iksi
1347	path	FINNISH	tie
1348	person	FINNISH	ihminen
1349	see	FINNISH	nEke
1350	skin	FINNISH	iho
1351	star	FINNISH	tEhti
1352	stone	FINNISH	kivi
1353	sun	FINNISH	aurinko
1354	tongue	FINNISH	kieli
1355	tooth	FINNISH	hammas
1356	tree	FINNISH	puu
1357	two	FINNISH	kaksi
1358	water	FINNISH	vesi
1359	we	FINNISH	me
1360	you	FINNISH	sinE
1361	I	FUZHOU CHINESE	ŋuai
1362	blood	FUZHOU CHINESE	haik
1363	bone	FUZHOU CHINESE	kouk
1364	breast	FUZHOU CHINESE	neiŋ
1365	come	FUZHOU CHINESE	li
1366	die	FUZHOU CHINESE	8i
1367	dog	FUZHOU CHINESE	kheiŋ
1368	drink	FUZHOU CHINESE	tʃiok
1369	ear	FUZHOU CHINESE	ŋai
1370	eye	FUZHOU CHINESE	meikciu
1371	fire	FUZHOU CHINESE	hui
1372	fish	FUZHOU CHINESE	ŋi
1373	full	FUZHOU CHINESE	muaŋ
1374	hand	FUZHOU CHINESE	tʃiu
1375	hear	FUZHOU CHINESE	thiaŋ
1376	horn	FUZHOU CHINESE	koik
1377	knee	FUZHOU CHINESE	khakphuthau
1378	leaf	FUZHOU CHINESE	nuok
1379	liver	FUZHOU CHINESE	kaŋ
1380	louse	FUZHOU CHINESE	8aikmo
1381	mountain	FUZHOU CHINESE	8aŋ
1382	name	FUZHOU CHINESE	miaŋcei
1383	new	FUZHOU CHINESE	8iŋ
1384	night	FUZHOU CHINESE	maŋmuo
1385	nose	FUZHOU CHINESE	phei
1386	one	FUZHOU CHINESE	8uok
1387	path	FUZHOU CHINESE	lou
1388	person	FUZHOU CHINESE	neiŋ
1389	see	FUZHOU CHINESE	khaŋ
1390	skin	FUZHOU CHINESE	phui
1391	star	FUZHOU CHINESE	8iŋ
1392	stone	FUZHOU CHINESE	8uokthau
1393	sun	FUZHOU CHINESE	likthau
1394	tongue	FUZHOU CHINESE	tʃuiliek
1395	tooth	FUZHOU CHINESE	ŋai
1396	tree	FUZHOU CHINESE	tʃiu
1397	two	FUZHOU CHINESE	naŋ
1398	water	FUZHOU CHINESE	cui
1399	we	FUZHOU CHINESE	ŋuaikoneiŋ
1400	you	FUZHOU CHINESE	ne
1401	I	GADDANG	ikkanak
1402	blood	GADDANG	ada
1403	bone	GADDANG	tulaŋ
1404	breast	GADDANG	gatat
1405	come	GADDANG	
1406	die	GADDANG	
1407	dog	GADDANG	atu
1408	drink	GADDANG	minum
1409	ear	GADDANG	lajag
1410	eye	GADDANG	mata
1411	fire	GADDANG	apuj
1412	fish	GADDANG	koriraw
1413	full	GADDANG	napənnwen
1414	hand	GADDANG	laŋalaj
1415	hear	GADDANG	madiŋəg
1416	horn	GADDANG	
1417	knee	GADDANG	atud
1418	leaf	GADDANG	adon
1419	liver	GADDANG	al
1420	louse	GADDANG	kutu
1421	mountain	GADDANG	kulud
1422	name	GADDANG	ŋan
1423	new	GADDANG	bawu
1424	night	GADDANG	gapi
1425	nose	GADDANG	ijoŋ
1426	one	GADDANG	antet
1427	path	GADDANG	dallan
1428	person	GADDANG	tolaj
1429	see	GADDANG	itan
1430	skin	GADDANG	gaddaŋ
1431	star	GADDANG	bitun
1432	stone	GADDANG	batu
1433	sun	GADDANG	
1434	tongue	GADDANG	dila
1435	tooth	GADDANG	ŋipan
1436	tree	GADDANG	kajo
1437	two	GADDANG	addwa
1438	water	GADDANG	danum
1439	we	GADDANG	ikkanetam
1440	you	GADDANG	ikka
1441	I	HANUNOO	aku
1442	blood	HANUNOO	duguʔ
1443	bone	HANUNOO	butʔul
1444	breast	HANUNOO	susu
1445	come	HANUNOO	balik
1446	die	HANUNOO	mataj
1447	dog	HANUNOO	iduʔ
1448	drink	HANUNOO	uminum
1449	ear	HANUNOO	tuli
1450	eye	HANUNOO	mata
1451	fire	HANUNOO	apuj
1452	fish	HANUNOO	isdaʔ
1453	full	HANUNOO	
1454	hand	HANUNOO	kamaŋ
1455	hear	HANUNOO	dunug
1456	horn	HANUNOO	
1457	knee	HANUNOO	
1458	leaf	HANUNOO	labuŋ
1459	liver	HANUNOO	ataj
1460	louse	HANUNOO	kutu
