ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
3724	breast	NORTHERN SORSOGON	susu	s u s u	3 7 3 7	AXBZ	SYSY	109	109.S.C 109.Y.V 109.S.C 109.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3764	breast	OAS	susu	s u s u	3 7 3 7	AXBZ	SYSY	110	110.S.C 110.Y.V 110.S.C 110.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3804	breast	PALAWANO BATAK	dudu	d u d u	1 7 1 7	AXBZ	TYTY	111	111.T.C 111.Y.V 111.T.C 111.Y.V	2.0 1.5 1.75 0.8	dudu	0	437
3844	breast	PANGASINAN	suso	s u s o	3 7 3 7	AXBZ	SYSU	112	112.S.C 112.Y.V 112.S.C 112.U.V	2.0 1.5 1.75 0.8	suso	0	471
3884	breast	PANGUTARAN SAMA	dagha	d a gh a	1 7 1 7	AXBZ	TAKA	113	113.T.C 113.A.V 113.K.C 113.A.V	2.0 1.5 1.75 0.8	dagha	0	449
3924	breast	PANGUTARAN SAMA (1)	dagha	d a gh a	1 7 1 7	AXBZ	TAKA	114	114.T.C 114.A.V 114.K.C 114.A.V	2.0 1.5 1.75 0.8	dagha	0	449
4044	breast	ROMBLOMANON 1	soso	s o s o	3 7 3 7	AXBZ	SUSU	118	118.S.C 118.U.V 118.S.C 118.U.V	2.0 1.5 1.75 0.8	soso	0	471
4084	breast	ROMBLOMANON 2	susu	s u s u	3 7 3 7	AXBZ	SYSY	119	119.S.C 119.Y.V 119.S.C 119.Y.V	2.0 1.5 1.75 0.8	susu	0	471
4124	breast	SAMAL	duduʔ	d u d u ʔ	1 7 1 7 1	AXBYN	TYTYH	120	120.T.C 120.Y.V 120.T.C 120.Y.V 120.H.c	2.0 1.5 1.75 1.3 0.8	duduʔ	0	437
4164	breast	SAMBAL BOTOLAN	nonoʔ	n o n o ʔ	4 7 4 7 1	AXBYN	NUNUH	121	121.N.C 121.U.V 121.N.C 121.U.V 121.H.c	2.0 1.5 1.75 1.3 0.8	nonoʔ	0	543
4204	breast	SANGIL	susu	s u s u	3 7 3 7	AXBZ	SYSY	122	122.S.C 122.Y.V 122.S.C 122.Y.V	2.0 1.5 1.75 0.8	susu	0	471
4244	breast	SANGIL SARANGANI ISLANDS	susu	s u s u	3 7 3 7	AXBZ	SYSY	123	123.S.C 123.Y.V 123.S.C 123.Y.V	2.0 1.5 1.75 0.8	susu	0	471
4284	breast	SEDANG	tou	t o u	1 7 7	AXZ	TUY	124	124.T.C 124.U.V 124.Y.V	2.0 1.5 0.8	tou	0	546
4324	breast	SIBUTU SOUTHERN SAMA	susu	s u s u	3 7 3 7	AXBZ	SYSY	125	125.S.C 125.Y.V 125.S.C 125.Y.V	2.0 1.5 1.75 0.8	susu	0	471
